filename,beta1,beta2,learning_rate,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V7_271_5fold_1_20200620112941,1.0,1.0,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620112948/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620112948/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620112948/test/"" ",0.1649,0.272,0.3117,0.4404,191.2286,0.22,0.0128,0.1577,0.2115,0.3776,220.3372,0.0851,0.8115
C_S_V7_271_5fold_1_20200620114945,0.5,0.5,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620114952/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620114952/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620114952/test/"" ",0.2142,0.3261,0.3851,0.5114,175.4091,0.2728,0.0128,0.2147,0.2712,0.4468,196.8897,0.108,0.8154
C_S_V7_271_5fold_1_20200620121801,0.0,0.0,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620121807/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620121807/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620121807/test/"" ",0.1733,0.3153,0.3598,0.4681,204.7256,0.2387,0.0436,0.1968,0.2391,0.3718,224.784,0.1224,0.4795
C_S_V7_271_5fold_1_20200620121901,0.01,0.03,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620121908/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620121908/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620121908/test/"" ",0.1793,0.3129,0.373,0.4922,202.4657,0.2429,0.0237,0.191,0.2436,0.3904,212.3756,0.1085,0.5115
C_S_V7_271_5fold_1_20200620122001,0.01,0.05,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620122007/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620122007/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620122007/test/"" ",0.1961,0.3562,0.4224,0.5271,177.3863,0.2705,0.0173,0.2192,0.2968,0.5019,172.6481,0.119,0.6167
C_S_V7_271_5fold_1_20200620130138,0.01,0.07,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620130144/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620130144/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620130144/test/"" ",0.1901,0.3466,0.3935,0.5235,186.7521,0.2646,0.0359,0.2327,0.2955,0.4212,210.9231,0.1325,0.5372
C_S_V7_271_5fold_1_20200620130238,0.08,0.01,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620130244/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620130244/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620130244/test/"" ",0.2202,0.3839,0.4344,0.5463,172.8941,0.2935,0.0295,0.2372,0.2994,0.4519,198.5538,0.1269,0.6718
C_S_V7_271_5fold_1_20200620130338,0.08,0.03,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620130344/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620130344/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620130344/test/"" ",0.2262,0.3779,0.4284,0.5415,163.3803,0.2979,0.025,0.2423,0.3077,0.4558,193.7147,0.1279,0.6218
C_S_V7_271_5fold_1_20200620144709,0.1,0.03,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144714/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144714/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144714/test/"" ",0.225,0.3887,0.4356,0.5608,166.8965,0.3012,0.0276,0.2429,0.3115,0.4641,188.0051,0.1304,0.6949
C_S_V7_271_5fold_1_20200620144737,0.1,0.1,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144744/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144744/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144744/test/"" ",0.213,0.367,0.4212,0.5548,162.497,0.2871,0.0237,0.2474,0.3096,0.4699,187.3045,0.1277,0.6846
C_S_V7_271_5fold_1_20200620144809,0.2,0.06,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144815/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144815/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144815/test/"" ",0.2286,0.3887,0.4392,0.5511,172.0674,0.3056,0.0186,0.2429,0.3179,0.4859,177.2737,0.126,0.7872
C_S_V7_271_5fold_1_20200620144837,0.2,0.2,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144843/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144843/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144843/test/"" ",0.219,0.3634,0.4152,0.5259,176.1564,0.2915,0.0154,0.2378,0.3103,0.4776,183.2712,0.1222,0.7949
C_S_V7_271_5fold_1_20200620144937,0.3,0.3,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144944/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144944/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620144944/test/"" ",0.2238,0.3622,0.4067,0.5174,179.3815,0.2897,0.0218,0.2231,0.2936,0.4673,182.3333,0.1199,0.8
C_S_V7_271_5fold_1_20200620145650,0.1,0.3,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620145657/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620145657/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620145657/test/"" ",0.231,0.3791,0.438,0.5439,163.7894,0.3037,0.0218,0.2532,0.3173,0.5064,177.5205,0.1297,0.7885
C_S_V7_271_5fold_1_20200620145750,0.2,0.6,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620145758/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620145758/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620145758/test/"" ",0.2286,0.3815,0.4392,0.5451,161.0373,0.3058,0.016,0.2346,0.3058,0.4795,183.6744,0.1204,0.8205
C_S_V7_271_5fold_1_20200620153101,0.4,0.13,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153110/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153110/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153110/test/"" ",0.2142,0.3634,0.4176,0.5319,174.6462,0.2861,0.0154,0.2244,0.2974,0.4724,177.4609,0.118,0.8051
C_S_V7_271_5fold_1_20200620153201,0.5,0.17,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153208/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153208/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153208/test/"" ",0.2142,0.3658,0.4007,0.5211,178.8953,0.2859,0.016,0.2282,0.2923,0.4551,191.3179,0.115,0.8218
C_S_V7_271_5fold_1_20200620153702,0.4,0.4,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153708/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153708/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153708/test/"" ",0.2298,0.3767,0.4212,0.5499,163.0,0.3027,0.0167,0.2442,0.3058,0.4942,180.6974,0.1232,0.8077
C_S_V7_271_5fold_1_20200620153802,0.5,0.5,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153810/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153810/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153810/test/"" ",0.2154,0.3261,0.3742,0.5042,178.5475,0.2722,0.0135,0.2019,0.2635,0.4288,198.8853,0.1054,0.8103
C_S_V7_271_5fold_1_20200620153902,0.6,0.6,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153909/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153909/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620153909/test/"" ",0.1974,0.3213,0.3779,0.503,171.3863,0.2605,0.0141,0.1917,0.259,0.4212,206.1827,0.104,0.8218
C_S_V7_271_5fold_1_20200620154216,0.5,1.5,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620154223/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620154223/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620154223/test/"" ",0.2226,0.361,0.4019,0.515,172.6715,0.2865,0.0179,0.2147,0.2808,0.4577,188.9769,0.1115,0.8154
C_S_V7_271_5fold_1_20200620154316,0.6,1.8,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620154324/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620154324/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620154324/test/"" ",0.1781,0.2912,0.3562,0.4753,181.7605,0.2392,0.0115,0.1712,0.2301,0.4019,210.55,0.091,0.8064
C_S_V7_271_5fold_1_20200620161600,0.7,0.23,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620161607/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620161607/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620161607/test/"" ",0.2178,0.3514,0.3971,0.5138,173.3261,0.2817,0.0147,0.2135,0.2776,0.4423,188.5058,0.1104,0.8192
C_S_V7_271_5fold_1_20200620161800,0.9,0.3,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620161808/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620161808/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620161808/test/"" ",0.1961,0.3225,0.373,0.4934,178.8339,0.2592,0.0128,0.1942,0.2558,0.4224,200.2321,0.1012,0.8051
C_S_V7_271_5fold_1_20200620162647,0.7,2.1,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162654/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162654/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162654/test/"" ",0.1865,0.29,0.3442,0.4753,190.4489,0.2412,0.0122,0.1744,0.2295,0.3885,215.9,0.0915,0.8154
C_S_V7_271_5fold_1_20200620162747,0.8,2.4,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162754/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162754/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162754/test/"" ",0.1673,0.2876,0.3273,0.4693,176.6727,0.2274,0.0115,0.1615,0.2167,0.3891,221.9724,0.0848,0.7897
