filename,beta1,beta2,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V7_271_5fold_1_20200621171207,0.1,0.03,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171213/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171213/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171213/test/"" ",0.2034,0.3622,0.4212,0.5295,181.4621,0.2779,0.0154,0.2744,0.3615,0.5545,162.0609,0.1408,0.641
C_S_V7_271_5fold_1_20200621171222,0.1,0.1,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171228/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171228/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171228/test/"" ",0.2166,0.3646,0.4212,0.5331,173.6667,0.2842,0.0141,0.2718,0.3545,0.5417,166.8327,0.1383,0.6654
C_S_V7_271_5fold_1_20200621171226,0.1,0.3,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171232/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171232/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171232/test/"" ",0.207,0.3706,0.438,0.5475,174.6715,0.2848,0.0179,0.2724,0.3564,0.5449,171.2308,0.1403,0.4846
C_S_V7_271_5fold_1_20200621171307,0.2,0.06,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171314/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171314/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171314/test/"" ",0.2106,0.367,0.432,0.5319,179.0818,0.2856,0.0154,0.2763,0.3615,0.55,169.8744,0.1398,0.6449
C_S_V7_271_5fold_1_20200621171322,0.2,0.2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171328/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171328/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171328/test/"" ",0.207,0.343,0.4152,0.5162,177.6715,0.2757,0.016,0.284,0.3679,0.5558,165.4051,0.1427,0.6577
C_S_V7_271_5fold_1_20200621171326,0.2,0.6,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171333/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171333/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171333/test/"" ",0.2118,0.3658,0.4164,0.5199,180.6594,0.2838,0.0154,0.2763,0.3635,0.5532,164.7795,0.1407,0.5244
C_S_V7_271_5fold_1_20200621171407,0.3,0.1,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171414/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171414/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171414/test/"" ",0.213,0.3658,0.4248,0.5235,185.7894,0.2841,0.0179,0.2712,0.3513,0.5442,167.3891,0.1397,0.6436
C_S_V7_271_5fold_1_20200621171422,0.3,0.3,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171429/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171429/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171429/test/"" ",0.2058,0.3646,0.4284,0.5427,181.2407,0.28,0.016,0.2782,0.3603,0.5545,165.0423,0.1406,0.6577
C_S_V7_271_5fold_1_20200621171426,0.3,0.9,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171434/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171434/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621171434/test/"" ",0.2094,0.355,0.414,0.509,191.5608,0.2795,0.0199,0.2833,0.3647,0.5506,164.1942,0.1434,0.641
C_S_V7_271_5fold_1_20200621180315,0.4,1.2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621180321/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621180321/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621180321/test/"" ",0.2226,0.3646,0.4404,0.5451,173.4717,0.2911,0.0167,0.2699,0.3551,0.5468,165.6071,0.1393,0.5244
